,date,ewretx,vwretx,nxt_freq_ewret,nxt_freq_vwret
0,1993-01-08,-0.0090124493569806,-0.0159885337635816,0.0197985139978715,0.0185441597523945
1,1993-01-15,0.0197985139978715,0.0185441597523945,0.0043175317348556,-0.0014480884205138
2,1993-01-22,0.0043175317348556,-0.0014480884205138,0.0073468491511752,0.0051526561757193
3,1993-01-29,0.0073468491511752,0.0051526561757193,0.0302725672471551,0.0229924837450845
4,1993-02-05,0.0302725672471551,0.0229924837450845,-0.0129402204320258,-0.0091051682549931
5,1993-02-12,-0.0129402204320258,-0.0091051682549931,-0.0270272357347707,-0.0238290441611366
6,1993-02-19,-0.0270272357347707,-0.0238290441611366,0.0197374108979824,0.0210562192479524
7,1993-02-26,0.0197374108979824,0.0210562192479524,0.0090557370530726,0.0065341760277741
8,1993-03-05,0.0090557370530726,0.0065341760277741,0.0101524310273406,0.008228711207737
9,1993-03-12,0.0101524310273406,0.008228711207737,0.0009069300814639,9.365009052486606e-05
10,1993-03-19,0.0009069300814639,9.365009052486606e-05,-0.0027308122628667,-0.0043894506781787
11,1993-03-26,-0.0027308122628667,-0.0043894506781787,-0.0130365760685434,-0.0153812368020298
12,1993-04-02,-0.0130365760685434,-0.0153812368020298,0.0006060633341766,0.001091751538502
13,1993-04-08,0.0006060633341766,0.001091751538502,0.0176425074915091,0.0163178721416548
14,1993-04-16,0.0176425074915091,0.0163178721416548,-0.0226463319958188,-0.0263993199599079
15,1993-04-23,-0.0226463319958188,-0.0263993199599079,0.0043436459166141,0.0068381939248254
16,1993-04-30,0.0043436459166141,0.0068381939248254,0.0066833556255292,0.0050625217957809
17,1993-05-07,0.0066833556255292,0.0050625217957809,-0.0003583316957167,-0.0065737250793833
18,1993-05-14,-0.0003583316957167,-0.0065737250793833,0.0133112454394273,0.0146733512166721
19,1993-05-21,0.0133112454394273,0.0146733512166721,0.0092398311703048,0.0093216773760489
20,1993-05-28,0.0092398311703048,0.0093216773760489,0.004081910736067,-6.294246520555102e-05
21,1993-06-04,0.004081910736067,-6.294246520555102e-05,-0.0145960563874423,-0.006605952938531
22,1993-06-11,-0.0145960563874423,-0.006605952938531,-0.0058497555168995,-0.0077297268154852
23,1993-06-18,-0.0058497555168995,-0.0077297268154852,0.0060975988741851,0.0087481045918762
24,1993-06-25,0.0060975988741851,0.0087481045918762,0.0039302630391648,-0.0038203185991195
25,1993-07-02,0.0039302630391648,-0.0038203185991195,0.0031854439334624,0.0051700572613559
26,1993-07-09,0.0031854439334624,0.0051700572613559,-0.0017291825079142,-0.0056899700083054
27,1993-07-16,-0.0017291825079142,-0.0056899700083054,0.0007391423320646,0.0027469815353842
28,1993-07-23,0.0007391423320646,0.0027469815353842,0.0038640623127921,0.0021876255738082
29,1993-07-30,0.0038640623127921,0.0021876255738082,0.0048837345040289,0.0012939357529799
30,1993-08-06,0.0048837345040289,0.0012939357529799,0.0034221098890938,0.0028519908168815
